slot_id,event_id,event_date,event_title,page_relationship,venue_or_mode,event_format,primary_program,response_display,recovery_status,source_url
recovered-014,113308576029782,2017-09-14,Repeal the Cabaret Law Now: City Hall Hearing,direct-card-host,New York City Hall,public-hearing,Let-NYC-Dance,1.1K people responded,detail-recovered,https://www.facebook.com/events/113308576029782/
recovered-015,120802405289008,2017-10-11,Tell NYC's Night Mayor: Save NYC Spaces,direct-card-host,Market Hotel,public-town-hall,Office-of-Nightlife-and-Save-NYC-Spaces,1.2K people responded,detail-recovered,https://www.facebook.com/events/120802405289008/
recovered-016,133554860735306,2017-10-31,NYC Repeals Cabaret Law: City Hall,direct-card-host,New York City Hall,celebration-and-action,Let-NYC-Dance,885 people responded,detail-partial-description,https://www.facebook.com/events/133554860735306/
recovered-017,144317939631393,2017-11-13,NYC Artist Coalition - November Meeting,direct-card-host,Chinatown Soup,recurring-meeting,coalition-review-and-priorities,123 people responded,detail-recovered,https://www.facebook.com/events/144317939631393/
recovered-018,383292402137451,2018-03-26,Night Mayor Panel - NAC March Meeting,direct-card-host,Secret Project Robot,panel-and-recurring-meeting,Office-of-Nightlife,612 people responded,detail-recovered,https://www.facebook.com/events/383292402137451/
recovered-019,1916200875140739,2018-10-22,City Hall Hearing: Lease Protections for Spaces #PassSBJSA,direct-card-host,New York City Hall,public-hearing,commercial-lease-protections,527 people responded,detail-recovered,https://www.facebook.com/events/1916200875140739/
recovered-020,468698540318956,2018-11-01,MARCH Raids & Fair Rent: NYC Artist Coalition Meeting,direct-card-host,Friends and Lovers,recurring-meeting,Talks-Not-Raids-and-Fair-Rent,205 people responded,detail-recovered,https://www.facebook.com/events/468698540318956/
recovered-021,790581997948463,2019-02-11,MARCH Raids in NYC - City Hall Hearing #TalksNotRaids,direct-card-host,New York City Hall,public-hearing,Talks-Not-Raids,299 people responded,detail-recovered,https://www.facebook.com/events/790581997948463/
recovered-022,149896349250651,2019-02-18,NYC Artist Coalition - February Meeting,direct-card-host,Flowers for all Occasions,recurring-meeting,Talks-Not-Raids-Fair-Rent-and-space-support,173 people responded,detail-recovered,https://www.facebook.com/events/149896349250651/
recovered-023,2347093582223366,2019-05-06,Save Ode To Babel,direct-card-host,Ode to Babel,venue-support-action,Save-NYC-Spaces-and-Talks-Not-Raids,143 people responded,detail-recovered,https://www.facebook.com/events/2347093582223366/
recovered-024,2998476473711342,2019-06-22,PN Mobile Workshop: In Defense of Grassroots Cultural Spaces,cohosted-or-associated,Pratt Institute,workshop,cultural-space-advocacy,28 people responded,detail-recovered,https://www.facebook.com/events/2998476473711342/
recovered-025,373845436658926,2019-08-07,NYC Artist Coalition: Summer of Change Meeting,direct-card-host,Ode to Babel,recurring-meeting,Talks-Not-Raids-and-Fair-Rent,157 people responded,detail-recovered,https://www.facebook.com/events/373845436658926/
recovered-026,1014934072187610,2019-11-14,Fair Rent NYC: Anti-Displacement Rally,direct-card-host,New York City Hall,rally,Fair-Rent-NYC,149 people responded,detail-recovered,https://www.facebook.com/events/1014934072187610/
recovered-027,1371973329662017,2020-03-16,Covid-19 Relief: Virtual Meeting - NYC Artist Coalition,direct-card-host,Virtual,relief-meeting,COVID-19-relief,309 people responded,detail-recovered,https://www.facebook.com/events/1371973329662017/
recovered-028,2616087105332260,2020-04-13,Coronavirus resources and actions for artists and freelancers,cohosted-or-associated,Online,resource-webinar,COVID-19-artist-relief,,detail-recovered,https://www.facebook.com/events/2616087105332260/
recovered-029,533594734223350,2020-04-30,Commercial Tenant Town Call with USBnyc,cohosted-or-associated,Online,commercial-tenant-call,small-business-and-commercial-tenancy,58 people responded,detail-recovered,https://www.facebook.com/events/533594734223350/
recovered-030,208435106806073,2020-06-18,We Will Rise: Recovery and Resiliency for Small Business,cohosted-or-associated,Online,public-panel,small-business-recovery,66 people responded,detail-recovered,https://www.facebook.com/events/208435106806073/
recovered-031,1451617855032658,2020-08-20,Small Business Speakout,cohosted-or-associated,Online,public-speakout,small-business-recovery,19 people responded,detail-recovered,https://www.facebook.com/events/1451617855032658/
recovered-032,772824526895291,2020-10-06,October Relief Meeting - NYC Artist Coalition,direct-card-host,Virtual,recurring-meeting,COVID-19-relief-and-rent-support,90 people responded,detail-recovered,https://www.facebook.com/events/772824526895291/
recovered-033,109513027694163,2021-01-29,Among Us Benefit Stream,cohosted-or-associated,Online,benefit-stream,cultural-space-relief,27 people responded,detail-recovered,https://www.facebook.com/events/109513027694163/
unresolved-034,,,,control-only,,,,,unresolved-control-slot,
