population_slot,disposition,status_url,status_id,published_at,author_handle,relationship,source_view,posted_urls,mentions,hashtags,issue_families,stakeholder_groups,access_time_replies,access_time_reposts,access_time_likes,note
RECOVERED-011,recovered,https://x.com/CallNYCapp/status/722837286476390401,722837286476390401,2016-04-20T17:20:13.000Z,CallNYCapp,project-reply,with_replies,https://t.co/QLHrhiHP1y -> http://callnyc.org/api/,@CallNYCapp | @ppolitics | @noneck | @NYCCouncil,,civic-technology-and-open-data,Council institution | civic-technology community,0,0,1,
RECOVERED-012,recovered,https://x.com/CallNYCapp/status/722837868008177664,722837868008177664,2016-04-20T17:22:32.000Z,CallNYCapp,project-post,posts,https://t.co/2ihtdXQMGs -> http://callnyc.org/immigration/u-s-citizenship.html,@CallNYCapp | @RitchieTorres | @NYCCouncil,#USCitizenship | #CallNYC,immigration-and-legal-services,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-013,recovered,https://x.com/CallNYCapp/status/722928370237853696,722928370237853696,2016-04-20T23:22:09.000Z,CallNYCapp,project-post,posts,https://t.co/fkq7hzWi6c -> http://callnyc.org/cultural-affairs/libraries.html,@CallNYCapp | @StephenLevin33 | @NYCCouncil,#Libraries | #CallNYC,culture-and-community,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-014,recovered,https://x.com/CallNYCapp/status/723132373114572801,723132373114572801,2016-04-21T12:52:47.000Z,CallNYCapp,project-post,posts,https://t.co/R9Bx3XNjYv -> http://callnyc.org/general-welfare/food-stamps.html,@CallNYCapp | @RLEspinal | @NYCCouncil,#FoodStamps | #CallNYC,benefits-and-social-services,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-015,recovered,https://x.com/CallNYCapp/status/723153082096345092,723153082096345092,2016-04-21T14:15:04.000Z,CallNYCapp,project-post,posts,https://t.co/ZQZbxgPqPx -> http://callnyc.org/housing-and-buildings/landlord-managing-agent-issues.html,@CallNYCapp | @HelenRosenthal | @NYCCouncil,#LandlordIssues | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,1,1,
RECOVERED-016,recovered,https://x.com/CallNYCapp/status/723249608659443712,723249608659443712,2016-04-21T20:38:38.000Z,CallNYCapp,project-post,posts,https://t.co/jP1mkW2MfY -> http://callnyc.org/housing-and-buildings/nycha-new-application.html,@CallNYCapp | @ydanis | @NYCCouncil,#NYCHANewApplication | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,0,1,
RECOVERED-017,recovered,https://x.com/CallNYCapp/status/723313062950907905,723313062950907905,2016-04-22T00:50:47.000Z,CallNYCapp,project-post,posts,https://t.co/kb8YHA4CCc -> http://callnyc.org/housing-and-buildings/nycha-building-maintenance.html,@CallNYCapp | @JimmyVanBramer | @NYCCouncil,#NYCHABuildingMaintenance,housing-and-tenants,New York City Council members and offices | Council institution,0,0,1,
RECOVERED-018,recovered,https://x.com/CallNYCapp/status/723546610576306176,723546610576306176,2016-04-22T16:18:49.000Z,CallNYCapp,project-post,posts,https://t.co/KaN1Ph34OH -> http://callnyc.org/legal-services/immigration.html,@CallNYCapp | @CMMathieuEugene | @NYCCouncil,#Immigration | #CallNYC,immigration-and-legal-services,New York City Council members and offices | Council institution,0,1,0,
RECOVERED-019,recovered,https://x.com/CallNYCapp/status/723547805709676544,723547805709676544,2016-04-22T16:23:34.000Z,CallNYCapp,project-post,posts,https://t.co/t4aK6PYHIG -> http://callnyc.org/parks/tree-planting-pruning.html,@CallNYCapp | @NYCGreenfield | @NYCCouncil,#TreePlanting | #EarthDay,parks-environment-and-sanitation,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-020,recovered,https://x.com/CallNYCapp/status/724723473852059649,724723473852059649,2016-04-25T22:15:15.000Z,CallNYCapp,project-post,posts,https://t.co/KUZBXbkGrp -> http://callnyc.org/housing-and-buildings/construction-general.html,@CallNYCapp | @BenKallos | @NYCCouncil,#GeneralConstruction | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,1,0,
RECOVERED-021,recovered,https://x.com/CallNYCapp/status/724727480909705216,724727480909705216,2016-04-25T22:31:10.000Z,CallNYCapp,project-post,posts,https://t.co/UwHNuZs1qj -> http://callnyc.org/parks/park-maintenance.html,@CallNYCapp | @ChaimDeutsch | @NYCCouncil,#ParkMaintenance | #CallNYC,parks-environment-and-sanitation,New York City Council members and offices | Council institution,0,1,2,
RECOVERED-022,recovered,https://x.com/CallNYCapp/status/724767660353949697,724767660353949697,2016-04-26T01:10:50.000Z,CallNYCapp,project-post,posts,https://t.co/D6cgQ300iJ -> http://callnyc.org/quality-of-life/noise-other.html,@CallNYCapp | @Dromm25 | @NYCCouncil,#Noise | #CallNYC,health-and-safety,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-023,recovered,https://x.com/CallNYCapp/status/724986599419875333,724986599419875333,2016-04-26T15:40:49.000Z,CallNYCapp,project-post,posts,https://t.co/7mstGHJlRD -> http://callnyc.org/finance/tax-preparation-assistance.html,@CallNYCapp | @RitchieTorres | @NYCCouncil,#TaxPrepAssistance | #CallNYC,jobs-and-economic-support,New York City Council members and offices | Council institution,0,4,4,
RECOVERED-024,recovered,https://x.com/CallNYCapp/status/725048363528392704,725048363528392704,2016-04-26T19:46:15.000Z,CallNYCapp,project-post,posts,https://t.co/CfUcCUgR5v -> http://callnyc.org/transportation/street-resurfacing.html,@CallNYCapp | @StevenMatteo | @NYCCouncil,#StreetResurfacing | #CallNYC,transportation-and-streets | parks-environment-and-sanitation,New York City Council members and offices | Council institution,0,4,4,
RECOVERED-025,recovered,https://x.com/CallNYCapp/status/725052316978663426,725052316978663426,2016-04-26T20:01:57.000Z,CallNYCapp,project-post,posts,https://t.co/9GUjrTPVfR -> http://callnyc.org/housing-and-buildings/nycha-transfers.html,@CallNYCapp | @MMViverito | @NYCCouncil,#NYCHATransfer | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-026,recovered,https://x.com/CallNYCapp/status/725084356432269313,725084356432269313,2016-04-26T22:09:16.000Z,CallNYCapp,project-post,posts,https://t.co/ixqxa8cPpB -> http://callnyc.org/economy-jobs/seeking-employment.html,@CallNYCapp | @MarkTreyger718 | @NYCCouncil,#Employment | #CallNYC,jobs-and-economic-support,New York City Council members and offices | Council institution,0,3,3,
RECOVERED-027,recovered,https://x.com/CallNYCapp/status/725334082364821504,725334082364821504,2016-04-27T14:41:35.000Z,CallNYCapp,project-post,posts,https://t.co/KlskCGW2jn -> http://callnyc.org/cultural-affairs/community-based-organization.html,@CallNYCapp | @Vanessalgibson | @NYCCouncil,#CommunityBasedOrg,culture-and-community,New York City Council members and offices | Council institution,0,1,1,
RECOVERED-028,recovered,https://x.com/CallNYCapp/status/725403215282487296,725403215282487296,2016-04-27T19:16:18.000Z,CallNYCapp,project-post,posts,https://t.co/FZduliunTG -> http://callnyc.org/utilities/lifeline.html,@CallNYCapp | @CMPeterKoo | @NYCCouncil,#Lifeline | #CallNYC,benefits-and-social-services,New York City Council members and offices | Council institution,0,1,1,
RECOVERED-029,recovered,https://x.com/CallNYCapp/status/725445909241278468,725445909241278468,2016-04-27T22:05:57.000Z,CallNYCapp,project-post,posts,https://t.co/dQTEpirK0c -> http://callnyc.org/health/animal-care-wild-animal.html,@CallNYCapp | @ElizCrowleyNYC | @NYCCouncil,#AnimalCare | #WildAnimal,health-and-safety,New York City Council members and offices | Council institution,0,1,1,
RECOVERED-030,recovered,https://x.com/CallNYCapp/status/725447728503902211,725447728503902211,2016-04-27T22:13:11.000Z,CallNYCapp,project-post,posts,https://t.co/1Uo5Non4dz -> http://callnyc.org/immigration/city-services-and-benefits.html,@CallNYCapp | @cmenchaca | @NYCCouncil,#CityServicesAndBenefits,immigration-and-legal-services | benefits-and-social-services,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-031,recovered,https://x.com/CallNYCapp/status/725462205173518338,725462205173518338,2016-04-27T23:10:42.000Z,CallNYCapp,project-post,posts,https://t.co/f7sPewFLeA -> http://callnyc.org/general-welfare/homeless-shelter-dhs.html,@CallNYCapp | @RosieMendez | @NYCCouncil,#HomelessShelter | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,2,3,
RECOVERED-032,recovered,https://x.com/CallNYCapp/status/725783813880684544,725783813880684544,2016-04-28T20:28:40.000Z,CallNYCapp,project-post,posts,https://t.co/grEZDUYGgo -> http://callnyc.org/housing-and-buildings/affordable-housing-apartment.html,@CallNYCapp | @RLEspinal | @NYCCouncil,#AffordableHousing | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,3,3,
RECOVERED-033,recovered,https://x.com/Gothamist/status/725788478676570113,725788478676570113,2016-04-28T20:47:12.000Z,Gothamist,project-repost,posts,https://t.co/nOPVwvQhOv -> http://gothamist.com/2016/04/28/pulaski_bridge_bike_path.php -> https://gothamist.com/news/long-overdue-pulaski-bridge-bike-path-will-officially-open-friday,@Gothamist,#bikenyc,transportation-and-streets,press and journalism,2,10,19,
RECOVERED-034,recovered,https://x.com/CallNYCapp/status/725789777673465857,725789777673465857,2016-04-28T20:52:22.000Z,CallNYCapp,project-post,posts,https://t.co/48kNXGpGNx -> http://callnyc.org/housing-and-buildings/lease-issue.html,@CallNYCapp | @HelenRosenthal | @NYCCouncil,#LeaseIssue | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,1,0,
RECOVERED-035,recovered,https://x.com/CallNYCapp/status/725813046631911424,725813046631911424,2016-04-28T22:24:49.000Z,CallNYCapp,project-post,posts,https://t.co/Ki4PWJgXMf -> http://callnyc.org/land-use-and-zoning/land-use-application-process.html,@CallNYCapp | @JimmyVanBramer | @NYCCouncil,#LandUseApplication,,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-036,recovered,https://x.com/CallNYCapp/status/726080902024040448,726080902024040448,2016-04-29T16:09:11.000Z,CallNYCapp,project-post,posts,https://t.co/BJ0kKbfsHS -> http://callnyc.org/immigration/green-card.html,@CallNYCapp | @CMMathieuEugene | @NYCCouncil,#GreenCard | #CallNYC,immigration-and-legal-services,New York City Council members and offices | Council institution,0,1,1,
RECOVERED-037,recovered,https://x.com/CallNYCapp/status/726819779953188865,726819779953188865,2016-05-01T17:05:13.000Z,CallNYCapp,project-post,posts,https://t.co/uRvk9DxiIn -> http://callnyc.org/utilities/con-edison.html,@CallNYCapp | @NYCGreenfield | @NYCCouncil,#ConEdison | #CallNYC,jobs-and-economic-support,New York City Council members and offices | Council institution,0,3,7,
RECOVERED-038,recovered,https://x.com/CallNYCapp/status/726900698827358208,726900698827358208,2016-05-01T22:26:46.000Z,CallNYCapp,project-post,posts,https://t.co/xGXnqIMgz2 -> http://callnyc.org/housing-and-buildings/rental-arrears.html,@CallNYCapp | @FCabreraNY | @NYCCouncil,#RentalArrears | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,1,1,
RECOVERED-039,recovered,https://x.com/CallNYCapp/status/727164122106847233,727164122106847233,2016-05-02T15:53:31.000Z,CallNYCapp,project-post,posts,https://t.co/NPe2gejGrr -> http://callnyc.org/transportation/street-lights.html,@CallNYCapp | @ChaimDeutsch | @NYCCouncil,#StreetLights | #CallNYC,transportation-and-streets | parks-environment-and-sanitation,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-040,recovered,https://x.com/CallNYCapp/status/727218948127739905,727218948127739905,2016-05-02T19:31:22.000Z,CallNYCapp,project-post,posts,,@CallNYCapp | @spedwybabs | @Organize20,#CatPictures | #org20,culture-and-community,civic-technology community | community and cultural networks,0,0,1,
RECOVERED-041,recovered,https://x.com/CallNYCapp/status/727251825414561792,727251825414561792,2016-05-02T21:42:01.000Z,CallNYCapp,project-post,posts,https://t.co/ii9fYml6sq -> http://callnyc.org/transportation/bicycles.html,@CallNYCapp | @BenKallos | @NYCCouncil,#Bicycle | #BikeMonth | #CallNYC,transportation-and-streets,New York City Council members and offices | Council institution,0,1,0,
RECOVERED-042,recovered,https://x.com/CallNYCapp/status/727528637340241920,727528637340241920,2016-05-03T16:01:58.000Z,CallNYCapp,project-post,posts,https://t.co/fs5dINLYGQ -> http://callnyc.org/sanitation/snow-removal.html,@CallNYCapp | @IDaneekMiller | @NYCCouncil,#SnowRemoval | #CallNYC,parks-environment-and-sanitation,New York City Council members and offices | Council institution,0,2,1,
RECOVERED-043,recovered,https://x.com/CallNYCapp/status/727601279984381952,727601279984381952,2016-05-03T20:50:37.000Z,CallNYCapp,project-post,posts,https://t.co/lSRkB621fB -> http://callnyc.org/housing-and-buildings/heat-hot-water.html,@CallNYCapp | @MMViverito | @NYCCouncil,#Heat | #HotWater | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-044,recovered,https://x.com/CallNYCapp/status/727619816081784832,727619816081784832,2016-05-03T22:04:17.000Z,CallNYCapp,project-post,posts,https://t.co/0sswRK5kfj -> http://callnyc.org/transportation/pot-holes.html,@CallNYCapp | @StevenMatteo | @NYCCouncil,#PotHoles | #CallNYC,transportation-and-streets,New York City Council members and offices | Council institution,0,2,2,
RECOVERED-045,recovered,https://x.com/CallNYCapp/status/727689676115611650,727689676115611650,2016-05-04T02:41:53.000Z,CallNYCapp,project-post,posts,https://t.co/ipg2ACxsfA -> http://callnyc.org/governmental-operations/voting-information.html,@CallNYCapp | @MarkTreyger718 | @NYCCouncil,#VotingInfo | #CallNYC,government-and-democracy,New York City Council members and offices | Council institution,0,2,2,
RECOVERED-046,recovered,https://x.com/CallNYCapp/status/727878157076959232,727878157076959232,2016-05-04T15:10:50.000Z,CallNYCapp,project-post,posts,https://t.co/yLLGsC6DRO -> http://CallNYC.org,@CallNYCapp | @NYCCouncil,#CouncilStat | #OpenData,civic-technology-and-open-data,Council institution,0,1,0,
RECOVERED-047,recovered,https://x.com/CallNYCapp/status/727880846271782913,727880846271782913,2016-05-04T15:21:31.000Z,CallNYCapp,project-post,posts,https://t.co/yLLGsC6DRO -> http://CallNYC.org,@CallNYCapp | @NYCCouncil | @CivicHall | @cartoDB | @mapzen,#ConstituentServices | #OpenData | #CouncilStat,civic-technology-and-open-data,Council institution | civic-technology community,0,0,0,
RECOVERED-048,recovered,https://x.com/CallNYCapp/status/727919445763575809,727919445763575809,2016-05-04T17:54:54.000Z,CallNYCapp,project-reply,posts,https://t.co/0sswRK5kfj -> http://callnyc.org/transportation/pot-holes.html,@CallNYCapp | @StevenMatteo,#ConstituentServices | #OpenData,transportation-and-streets | civic-technology-and-open-data,New York City Council members and offices,0,2,5,
RECOVERED-049,recovered,https://x.com/CallNYCapp/status/728001482692399104,728001482692399104,2016-05-04T23:20:53.000Z,CallNYCapp,project-post,posts,https://t.co/RakQv8ztqc -> http://callnyc.org/transportation/pedestrian-safety.html,@CallNYCapp | @bradlander | @NYCCouncil,#PedestrianSafety | #CallNYC,transportation-and-streets,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-050,recovered,https://x.com/CMPeterKoo/status/728259132705353728,728259132705353728,2016-05-05T16:24:42.000Z,CMPeterKoo,project-repost,posts,,@CMPeterKoo | @JihaJacques | @NYCFinance | @SelfhelpNY,#SCRIE | #DRIE,housing-and-tenants,"New York City Council members and offices | city agencies and executive offices | legal, housing, and service organizations",0,6,2,
RECOVERED-051,recovered,https://x.com/CallNYCapp/status/728333768226947077,728333768226947077,2016-05-05T21:21:16.000Z,CallNYCapp,project-post,posts,https://t.co/II5uv5lxQV -> http://callnyc.org/housing-and-buildings/eviction.html,@CallNYCapp | @HelenRosenthal | @NYCCouncil,#Eviction | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,0,1,
RECOVERED-052,recovered,https://x.com/CallNYCapp/status/728666490250113026,728666490250113026,2016-05-06T19:23:23.000Z,CallNYCapp,project-post,posts,https://t.co/DBrHgcWshC -> http://callnyc.org/housing-and-buildings/section-8.html,@CallNYCapp | @RLEspinal | @NYCCouncil,#Section8 | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-053,recovered,https://x.com/CallNYCapp/status/728692814079463429,728692814079463429,2016-05-06T21:07:59.000Z,CallNYCapp,project-post,posts,https://t.co/yLLGsC6DRO -> http://CallNYC.org,@CallNYCapp | @NYCCouncil,#ConstituentService | #Tech4all,housing-and-tenants | civic-technology-and-open-data,Council institution,0,0,0,
RECOVERED-054,recovered,https://x.com/darrenbloch/status/729670658406400001,729670658406400001,2016-05-09T13:53:36.000Z,darrenbloch,project-repost,posts,,@darrenbloch | @deBlasioNYC,#NYCdigital,housing-and-tenants | civic-technology-and-open-data,,0,3,5,
RECOVERED-055,recovered,https://x.com/CivicHall/status/729673498608685058,729673498608685058,2016-05-09T14:04:53.000Z,CivicHall,project-repost,posts,,@CivicHall | @BilldeBlasio,#nycdigital,civic-technology-and-open-data,city agencies and executive offices | civic-technology community,0,3,5,
RECOVERED-056,recovered,https://x.com/NYCMayorsOffice/status/729676362634629120,729676362634629120,2016-05-09T14:16:16.000Z,NYCMayorsOffice,project-repost,posts,,@NYCMayorsOffice | @BillDeBlasio,#NYCdigital,civic-technology-and-open-data,city agencies and executive offices,0,13,14,
RECOVERED-057,recovered,https://x.com/CallNYCapp/status/729713874715455488,729713874715455488,2016-05-09T16:45:19.000Z,CallNYCapp,project-post,posts,,@CallNYCapp | @BilldeBlasio,#nycdigital,civic-technology-and-open-data,city agencies and executive offices,0,0,3,
RECOVERED-058,recovered,https://x.com/CallNYCapp/status/729737077340946432,729737077340946432,2016-05-09T18:17:31.000Z,CallNYCapp,project-post,posts,,@CallNYCapp | @BilldeBlasio | @NYCCouncil | @galeabrewer,#NYCDigital | #OpenData,civic-technology-and-open-data | government-and-democracy,Council institution | city agencies and executive offices,0,1,1,
RECOVERED-059,recovered,https://x.com/CallNYCapp/status/729741165273165824,729741165273165824,2016-05-09T18:33:46.000Z,CallNYCapp,project-reply,posts,,@CallNYCapp | @ibookery | @BilldeBlasio,,,city agencies and executive offices,0,0,1,
RECOVERED-060,recovered,https://x.com/CallNYCapp/status/729757799647981570,729757799647981570,2016-05-09T19:39:52.000Z,CallNYCapp,project-post,posts,https://t.co/rgMJ2CoXGE -> http://bit.ly/homelessnessprevention -> https://www.nyc.gov/site/hra/help/homelessness-prevention.page,@CallNYCapp | @NYCHRA,#AntiEviction | #FreeLegalServices,housing-and-tenants | immigration-and-legal-services,city agencies and executive offices,0,0,0,
RECOVERED-061,recovered,https://x.com/CallNYCapp/status/729830383689281537,729830383689281537,2016-05-10T00:28:17.000Z,CallNYCapp,project-post,posts,https://t.co/YMBsQlYVUD -> http://callnyc.org/parks/trees-and-sidewalks-program.html,@CallNYCapp | @ChaimDeutsch | @NYCCouncil,#TreesAndSidewalksProgram,transportation-and-streets | parks-environment-and-sanitation,New York City Council members and offices | Council institution,0,2,3,
RECOVERED-062,recovered,https://x.com/CallNYCapp/status/729832019304194052,729832019304194052,2016-05-10T00:34:47.000Z,CallNYCapp,project-post,posts,https://t.co/hYFYASsn6j -> http://callnyc.org/immigration/visas.html,@CallNYCapp | @CMMathieuEugene | @NYCCouncil,#Visas | #Immigration,immigration-and-legal-services,New York City Council members and offices | Council institution,0,1,0,
RECOVERED-063,recovered,https://x.com/CallNYCapp/status/729835258808537088,729835258808537088,2016-05-10T00:47:40.000Z,CallNYCapp,project-post,posts,https://t.co/hYFYASaMeL -> http://callnyc.org/immigration/visas.html,@CallNYCapp | @CMMathieuEugene | @NYCCouncil,#Visas,immigration-and-legal-services,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-064,recovered,https://x.com/CallNYCapp/status/730739253358018561,730739253358018561,2016-05-12T12:39:49.000Z,CallNYCapp,project-post,posts,https://t.co/kb8YHA4CCc -> http://callnyc.org/housing-and-buildings/nycha-building-maintenance.html,@CallNYCapp | @HelenRosenthal | @NYCCouncil,#NYCHABuildingMaintenance,housing-and-tenants,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-065,recovered,https://x.com/CallNYCapp/status/730838778772893696,730838778772893696,2016-05-12T19:15:17.000Z,CallNYCapp,project-post,posts,https://t.co/yLLGsC6DRO -> http://CallNYC.org,@CallNYCapp | @twitter | @NYCCouncil | @MMViverito | @JimmyVanBramer,#CallNYC,,New York City Council members and offices | Council institution,0,0,1,
RECOVERED-066,recovered,https://x.com/CallNYCapp/status/730842213429710850,730842213429710850,2016-05-12T19:28:56.000Z,CallNYCapp,project-post,posts,https://t.co/Rr2SCkG4ha -> http://callnyc.org/transportation/traffic-enforcement.html,@CallNYCapp | @JimmyVanBramer | @NYCCouncil,#TrafficEnforcement,transportation-and-streets,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-067,recovered,https://x.com/CallNYCapp/status/730856560071741440,730856560071741440,2016-05-12T20:25:57.000Z,CallNYCapp,project-post,posts,https://t.co/uIv6B7KlFk -> http://callnyc.org/sanitation/dirty-sidewalk.html,@CallNYCapp | @NYCGreenfield | @NYCCouncil,#DirtySidewalks | #CallNYC,transportation-and-streets | parks-environment-and-sanitation,New York City Council members and offices | Council institution,0,4,9,
RECOVERED-068,recovered,https://x.com/StephCW_/status/730862177037488128,730862177037488128,2016-05-12T20:48:16.000Z,StephCW_,project-repost,posts,https://t.co/CPuzz8aIbk -> http://callnyc.org,@StephCW_,#dataisbeautiful,housing-and-tenants | civic-technology-and-open-data,,0,1,1,
RECOVERED-069,recovered,https://x.com/CallNYCapp/status/731168037433450496,731168037433450496,2016-05-13T17:03:39.000Z,CallNYCapp,project-post,posts,https://t.co/ffdda0QyEM -> http://callnyc.org/general-welfare/medicaid.html,@CallNYCapp | @RLEspinal | @NYCCouncil,#Medicaid | #CallNYC,benefits-and-social-services,New York City Council members and offices | Council institution,0,1,1,
RECOVERED-070,recovered,https://x.com/CallNYCapp/status/731212042863005697,731212042863005697,2016-05-13T19:58:30.000Z,CallNYCapp,project-post,posts,https://t.co/lSRkB621fB -> http://callnyc.org/housing-and-buildings/heat-hot-water.html,@CallNYCapp | @CM_MargaretChin | @NYCCouncil,#Heat | #HotWater,housing-and-tenants,New York City Council members and offices | Council institution,0,1,2,
RECOVERED-071,recovered,https://x.com/CallNYCapp/status/731254021000986624,731254021000986624,2016-05-13T22:45:19.000Z,CallNYCapp,project-post,posts,https://t.co/LfBEH2jLbI -> http://callnyc.org/transportation/buses.html,@CallNYCapp | @BenKallos | @NYCCouncil,#Buses | #CallNYC,transportation-and-streets,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-072,recovered,https://x.com/CallNYCapp/status/731873940923109376,731873940923109376,2016-05-15T15:48:39.000Z,CallNYCapp,project-post,posts,https://t.co/4HbbAUkItU -> http://callnyc.org/housing-and-buildings/violation.html,@CallNYCapp | @CM_RubenWills | @NYCCouncil,#BuildingsViolation | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,1,1,
RECOVERED-073,recovered,https://x.com/CallNYCapp/status/732370968946065408,732370968946065408,2016-05-17T00:43:40.000Z,CallNYCapp,project-post,posts,https://t.co/uRvk9DxiIn -> http://callnyc.org/utilities/con-edison.html,@CallNYCapp | @ChaimDeutsch | @NYCCouncil,#ConEdison | #CallNYC,jobs-and-economic-support,New York City Council members and offices | Council institution,0,2,1,
RECOVERED-074,recovered,https://x.com/CallNYCapp/status/732660179540578306,732660179540578306,2016-05-17T19:52:53.000Z,CallNYCapp,project-post,posts,https://t.co/pTyzAfP1VC -> http://callnyc.org/transportation/traffic-signals.html,@CallNYCapp | @StevenMatteo | @NYCCouncil,#TrafficSignal | #CallNYC,transportation-and-streets,New York City Council members and offices | Council institution,0,0,1,
RECOVERED-075,recovered,https://x.com/CallNYCapp/status/732687384597430273,732687384597430273,2016-05-17T21:40:59.000Z,CallNYCapp,project-post,posts,https://t.co/s1o4UnLYUh -> http://callnyc.org/governmental-operations/idnyc.html,@CallNYCapp | @MMViverito | @NYCCouncil,#IDNYC | #CallNYC,,New York City Council members and offices | Council institution,0,0,0,
