population_slot,disposition,status_url,status_id,published_at,author_handle,relationship,source_view,posted_urls,mentions,hashtags,mission_themes,stakeholder_groups,access_time_replies,access_time_reposts,access_time_likes,note
RECOVERED-011,recovered,https://x.com/urbanhermit/status/592718356018556928,592718356018556928,2015-04-27T15:54:02.000Z,urbanhermit,project-repost,posts-and-replies,https://t.co/jSkbutnuw3 -> https://wowlist.org/sundaydinner/events/15993/s-multimedia-theatre-adapatation-of-andrei-tarkovskys-solaris-with-mike-rekevics--secret-location-cl,,,event-distribution | experimental-performance,project-collaborator | experimental-arts-network,0,1,0,Source-post engagement is not project-account traction.
RECOVERED-012,recovered,https://x.com/zachfromiji/status/592787353925726208,592787353925726208,2015-04-27T20:28:13.000Z,zachfromiji,project-repost,posts-and-replies,,,,community-voice,independent-artist,0,2,3,Source-post engagement is not project-account traction.
RECOVERED-013,recovered,https://x.com/wowlist/status/592810776961916929,592810776961916929,2015-04-27T22:01:17.000Z,wowlist,project-post,posts-and-replies,http://t.co/IS8uGw6zxb -> http://grasstronaut.com/2015/01/29/homework-in-every-town/ -> https://web.archive.org/web/20150201081214/http://grasstronaut.com/2015/01/29/homework-in-every-town/,@elisegranata,#grasstronaut,diy-documentation | cross-scene-learning,diy-documentarian | arts-writer,0,1,1,Shared-account human authorship is not assigned.
RECOVERED-014,recovered,https://x.com/wowlist/status/596690796641923073,596690796641923073,2015-05-08T14:59:06.000Z,wowlist,project-post,posts-and-replies,,@elisegranata,,diy-documentation | cross-scene-learning,diy-documentarian | arts-writer,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-015,recovered,https://x.com/wowlist/status/596691623993581568,596691623993581568,2015-05-08T15:02:23.000Z,wowlist,project-post,posts-and-replies,http://t.co/S7hb8xKAJQ -> http://grasstronaut.com || http://t.co/cG6FgcGsgu -> http://www.gtweekly.com/index.php/santa-cruz-news/good-times-cover-stories/6548-zines-20.html -> https://web.archive.org/web/20150907001335/http://www.gtweekly.com/index.php/santa-cruz-news/good-times-cover-stories/6548-zines-20.html,@elisegranata,,diy-documentation | archive-practice,arts-journalism | diy-documentarian,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-016,recovered,https://x.com/wowlist/status/598530404669358080,598530404669358080,2015-05-13T16:49:03.000Z,wowlist,project-post,posts-and-replies,https://t.co/3rl1wMar2x -> https://wowlist.org/desertdip,@zachfromiji,#DesertDip,event-distribution | tour-coordination,independent-artist | touring-network,0,2,2,Shared-account human authorship is not assigned.
RECOVERED-017,recovered,https://x.com/pluspoolny/status/603631189308604416,603631189308604416,2015-05-27T18:37:45.000Z,pluspoolny,project-repost,posts-and-replies,,,,community-voice,public-art-organization,1,4,3,Source-post engagement is not project-account traction.
RECOVERED-018,recovered,https://x.com/punkscriminals/status/604360847012413440,604360847012413440,2015-05-29T18:57:09.000Z,punkscriminals,project-repost,posts-and-replies,https://t.co/wNFjbgp7a1 -> https://wowlist.org/punksandcriminals,@wowlistnyc | @weareonthewater,#livemusic | #show | #concert | #event | #music | #calendar,organizer-use | event-contribution,independent-event-organizer,0,1,1,Source-post engagement is not project-account traction.
RECOVERED-019,recovered,https://x.com/wowlist/status/606517628765650945,606517628765650945,2015-06-04T17:47:25.000Z,wowlist,project-post,posts-and-replies,https://t.co/o65oORabb6 -> https://wowlist.org/rapidpulse,@RapidPulseFest,#RP15,event-distribution | performance-art,performance-art-festival,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-020,recovered,https://x.com/wowlist/status/632168285291835392,632168285291835392,2015-08-14T12:33:58.000Z,wowlist,project-post,posts-and-replies,https://t.co/KZ7x2zPgtB -> https://www.youtube.com/watch?v=nQg47LtixPI || https://t.co/w5zPq7Z89p -> https://wowlist.org/join,,,participant-created-tutorial | product-onboarding,community-contributor | external-tutorial-maker,0,1,3,Shared-account human authorship is not assigned.
RECOVERED-021,recovered,https://x.com/cotfg/status/663732869357965313,663732869357965313,2015-11-09T15:00:22.000Z,cotfg,project-repost,posts-and-replies,https://t.co/606xbcLhMq -> https://wowlist.org/events/19077/8pm-sunday-november-22nd--drone-orchestra,,,event-distribution | experimental-music,experimental-music-organizer,0,1,3,Source-post engagement is not project-account traction.
RECOVERED-022,recovered,https://x.com/wowlist/status/665520472461860864,665520472461860864,2015-11-14T13:23:40.000Z,wowlist,project-post,posts-and-replies,https://t.co/JpK2QOam9r -> https://wowlist.org/AllAges || https://t.co/YuCfobbQTB -> https://wowlist.org/events/18547/wow-list-members-meeting,@all_ages,,community-governance | all-ages-events,all-ages-network | community-members,1,0,0,Shared-account human authorship is not assigned.
RECOVERED-023,recovered,https://x.com/rchrd2/status/749378122823245824,749378122823245824,2016-07-02T23:04:01.000Z,rchrd2,project-repost,posts-and-replies,https://t.co/DbCvjUQM1n -> http://sresproductions.com/events/fillmore-jazz-festival/,@wowlist,,event-distribution | collaborator-use,project-collaborator,0,1,0,Source-post engagement is not project-account traction.
RECOVERED-024,recovered,https://x.com/wowlist/status/751150062458269696,751150062458269696,2016-07-07T20:25:05.000Z,wowlist,project-post,posts-and-replies,https://t.co/a39ETzpVWO -> https://wowlist.org/nycdiy/events/23185/demonstration-for-altonsterling--philandocastile-at-5pm-today-in-union-square-nyc,,#AltonSterling | #PhilandoCastile | #BlackLivesMatter,movement-event-distribution | racial-justice,racial-justice-public,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-025,recovered,https://x.com/wowlist/status/771412862191407104,771412862191407104,2016-09-01T18:22:13.000Z,wowlist,project-reply,posts-and-replies,https://t.co/ixsJHQRdDK -> http://NYCDIY.org,,,project-identity | nyc-diy-network,nyc-diy-venue-network,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-026,recovered,https://x.com/wowlist/status/771455571501416448,771455571501416448,2016-09-01T21:11:55.000Z,wowlist,project-reply,posts-and-replies,https://t.co/3an880EXo8 -> http://NYCdiy.org,@selfdfens | @showpaper,,product-onboarding | weekly-email,nyc-diy-media | community-participant,1,2,2,Shared-account human authorship is not assigned.
RECOVERED-027,recovered,https://x.com/wowlist/status/771457416298921985,771457416298921985,2016-09-01T21:19:15.000Z,wowlist,project-reply,posts-and-replies,https://t.co/7lKlHLEZf1 -> https://wowlist.org/sundaydinner/events/24130/sunday-dinner-potluck-uop-psdn-8pm--jjs,@selfdfens | @showpaper | @wowlist,,sunday-dinner-origin | community-calendar,nyc-diy-media | sunday-dinner-community,0,1,1,Shared-account human authorship is not assigned.
RECOVERED-028,recovered,https://x.com/FOKLcenter/status/783312785702805504,783312785702805504,2016-10-04T14:28:16.000Z,FOKLcenter,project-repost,posts-and-replies,"https://t.co/t0grs2Do3H -> facebook.comFOKLelectricitygetsturnedonatthenewspottoday.ThisisourFIRSTshowatthenewlocation.samedrive,differentdoor.",,,cultural-space-continuity,diy-cultural-venue,0,1,2,Source-post engagement is not project-account traction.
RECOVERED-029,recovered,https://x.com/wowlist/status/796473557387575297,796473557387575297,2016-11-09T22:04:28.000Z,wowlist,project-post,posts-and-replies,https://t.co/D6udDGJ7Um -> https://wowlist.org/DownWithTrump,,#DownWithTrump,movement-event-distribution | anti-oppression,national-movement-public,0,5,6,Shared-account human authorship is not assigned.
RECOVERED-030,recovered,https://x.com/yokoono/status/797181275308257282,797181275308257282,2016-11-11T20:56:41.000Z,yokoono,project-repost,posts-and-replies,https://t.co/ST6A7fMabN -> http://ift.tt/2fjVs71,,,artist-voice,international-artist,2,211,467,Source-post engagement is not project-account traction.
RECOVERED-031,recovered,https://x.com/wowlist/status/798274424763981824,798274424763981824,2016-11-14T21:20:28.000Z,wowlist,project-post,posts-and-replies,https://t.co/O1euiAdPmX -> http://popular.vote,,#NotMyPresident | #WeAreThePopularVote,movement-event-distribution | community-organizing,national-movement-public,0,3,3,Shared-account human authorship is not assigned.
RECOVERED-032,recovered,https://x.com/5432fun/status/801883926029447168,801883926029447168,2016-11-24T20:23:20.000Z,5432fun,project-repost,posts-and-replies,https://t.co/xBooqnpcBS -> http://fb.me/1TW9AQgwM,,,indigenous-solidarity | resource-sharing,independent-music-network | indigenous-solidarity-public,0,2,2,Source-post engagement is not project-account traction.
RECOVERED-033,recovered,https://x.com/wowlist/status/805210387004223488,805210387004223488,2016-12-04T00:41:31.000Z,wowlist,project-post,posts-and-replies,https://t.co/vWtAyQiwMl -> https://youcaring.com/firevictimsofoaklandfiredec232016-706684,,,ghost-ship-solidarity | mutual-aid,ghost-ship-support-public,0,2,1,Shared-account human authorship is not assigned.
RECOVERED-034,recovered,https://x.com/urbanhermit/status/805949658405175296,805949658405175296,2016-12-06T01:39:07.000Z,urbanhermit,project-repost,posts-and-replies,https://t.co/jhGFCwormV -> https://wowlist.org/events/25653/light-vigil-for-ghost-ship-at-lake-merritt-oakland---tonight,,,ghost-ship-solidarity | memorial-event-distribution,project-collaborator | oakland-arts-community,0,1,0,Source-post engagement is not project-account traction.
RECOVERED-035,recovered,https://x.com/wowlist/status/806517013472485376,806517013472485376,2016-12-07T15:13:35.000Z,wowlist,project-post,posts-and-replies,https://t.co/Q2vtL8JdOq -> https://www.kqed.org/news/11207317/video-mourners-gather-at-candlelight-vigil-to-honor-victims-of-oakland-fire,,,ghost-ship-solidarity | public-documentation,public-media | oakland-arts-community,0,2,1,Shared-account human authorship is not assigned.
RECOVERED-036,recovered,https://x.com/urbanhermit/status/807395049814290433,807395049814290433,2016-12-10T01:22:35.000Z,urbanhermit,project-repost,posts-and-replies,https://t.co/L0gAiWmIbX -> https://docs.google.com/spreadsheets/d/1otIba941Na_zR4chOkitdn6wZ6mLInJQkYOU8lmYqUY/pubhtml,,#DIYsavesOurLife,cultural-space-safety | public-action,project-collaborator | diy-space-advocacy,0,2,8,Source-post engagement is not project-account traction.
RECOVERED-037,recovered,https://x.com/MeowWolf/status/815697993709993984,815697993709993984,2017-01-01T23:15:31.000Z,MeowWolf,project-repost,posts-and-replies,https://t.co/0jKQMlauld -> https://meowwolf.com/diy -> https://web.archive.org/web/20170312084829/https://meowwolf.com/DIY/,,,cultural-space-support | diy-funding,arts-institution | diy-space-support,0,4,13,Source-post engagement is not project-account traction.
RECOVERED-038,recovered,https://x.com/goshwizard/status/819663088634851328,819663088634851328,2017-01-12T21:51:23.000Z,goshwizard,project-repost,posts-and-replies,,,,community-voice,independent-music-public,1,1,5,Source-post engagement is not project-account traction.
